Episode,AI_Won,Total_Reward,Epsilon
292,0,-1588.54,0.00500081
293,0,-941.933,0.00500081
294,0,-1635.54,0.00500081
295,0,534.118,0.00500081
296,0,-584.788,0.00500081
297,1,2447.78,0.00500081
298,1,858.593,0.00500081
299,0,-3082.28,0.00500081
300,0,2694.15,0.00500081
301,0,-1976.24,0.00500081
302,1,4253.25,0.00500081
303,0,-3979.88,0.00500081
304,0,-307.295,0.00500081
305,1,1502.33,0.00500081
306,1,2470.08,0.00500081
307,0,-3065.99,0.00500081
308,0,-854.445,0.00500081
309,0,-2079.21,0.00500081
310,1,4761.55,0.00500081
311,0,-3301.25,0.00500081
312,0,139.873,0.00500081
313,0,-1246.05,0.00500081
314,0,-284.651,0.00500081
315,0,-1041.34,0.00500081
316,1,3780.26,0.00500081
317,0,-689.46,0.00500081
318,1,4623.23,0.00500081
319,0,-2625.75,0.00500081
320,0,576.128,0.00500081
321,0,-1393.07,0.00500081
322,1,4003.47,0.00500081
323,0,-3009.42,0.00500081
324,1,7116.03,0.00500081
325,1,273.988,0.00500081
326,1,2788.5,0.00500081
327,0,-1610.7,0.00500081
328,1,7341.74,0.00500081
329,0,-1214.5,0.00500081
330,0,5139.52,0.00500081
331,0,-2388.73,0.00500081
332,1,5936.84,0.00500081
333,0,-3523.33,0.00500081
334,0,2738.43,0.00500081
335,1,2659.91,0.00500081
336,1,1608.08,0.00500081
337,0,525.666,0.00500081
338,1,5324.27,0.00500081
339,0,-3739.8,0.00500081
340,1,5048.3,0.00500081
341,0,-3626.87,0.00500081
342,0,3696.47,0.00500081
343,1,2649.87,0.00500081
344,1,1039.08,0.00500081
345,1,358.598,0.00500081
346,1,-508.446,0.00500081
347,0,-2309.55,0.00500081
348,1,5658.11,0.00500081
349,0,-3390.85,0.00500081
350,1,5246.83,0.00500081
351,0,-3522.53,0.00500081
352,1,5461.98,0.00500081
353,0,-3754.32,0.00500081
354,1,4904.16,0.00500081
355,0,-3557.64,0.00500081
356,1,5303.68,0.00500081
357,0,-3767.93,0.00500081
358,1,4692.59,0.00500081
359,0,-3615.68,0.00500081
360,1,4905.11,0.00500081
361,1,-126.783,0.00500081
362,1,1501.82,0.00500081
363,0,-3619.91,0.00500081
364,1,5040.65,0.00500081
365,0,-3203.49,0.00500081
366,1,5511.08,0.00500081
367,0,-3274.94,0.00500081
368,1,7411.45,0.00500081
369,0,-3349.8,0.00500081
370,1,6152.03,0.00500081
371,0,-3526.34,0.00500081
372,0,4234.66,0.00500081
373,0,-2432.09,0.00500081
374,1,6155.5,0.00500081
375,0,-3525.98,0.00500081
376,1,6611.55,0.00500081
377,0,-1236.68,0.00500081
378,1,6747.59,0.00500081
379,0,-1419.07,0.00500081
380,1,5337.34,0.00500081
381,0,-2591.28,0.00500081
382,0,4436.15,0.00500081
383,0,-2401.35,0.00500081
384,1,5796.02,0.00500081
385,0,-1254.84,0.00500081
386,0,-1987.31,0.00500081
387,1,3170.6,0.00500081
388,1,2699.76,0.00500081
389,0,-492.266,0.00500081
390,1,4778.94,0.00500081
391,1,799.44,0.00500081
392,0,-1008.19,0.00500081
393,1,2755.25,0.00500081
394,1,2230.06,0.00500081
395,1,315.97,0.00500081
396,1,1.42017,0.00500081
397,0,-4120.06,0.00500081
398,1,5153.52,0.00500081
399,1,-509.507,0.00500081
400,1,1452.38,0.00500081
401,1,-863.821,0.00500081
402,1,2078.8,0.00500081
403,1,-986.877,0.00500081
404,0,854.61,0.00500081
405,1,1422.74,0.00500081
406,0,-1342.64,0.00500081
407,0,-1540.53,0.00500081
408,1,5380.55,0.00500081
409,1,1448.99,0.00500081
410,1,3296.44,0.00500081
411,1,1307.67,0.00500081
412,1,2801.59,0.00500081
413,0,-3723.71,0.00500081
414,0,5437.81,0.00500081
415,0,-2415.14,0.00500081
416,0,2110.65,0.00500081
417,1,716.555,0.00500081
418,0,461.104,0.00500081
419,0,-2055.41,0.00500081
420,1,4634.48,0.00500081
421,0,-3558.17,0.00500081
422,1,6033.87,0.00500081
423,0,-3347.19,0.00500081
424,0,5036.87,0.00500081
425,0,-2184.05,0.00500081
426,1,6493.14,0.00500081
427,1,-661.965,0.00500081
428,0,-2.16132,0.00500081
429,1,1044.43,0.00500081
430,0,2689.23,0.00500081
